sample_id,original_directory,original_sample_number
sample_0159,4,12
sample_0160,4,13
sample_0161,4,14
sample_0162,4,15
sample_0163,4,16
sample_0164,4,17
sample_0165,4,18
sample_0166,4,19
sample_0167,4,20
sample_0168,4,21
sample_0169,4,22
sample_0170,4,23
sample_0171,4,24
sample_0172,4,25
sample_0173,4,26
sample_0174,4,27
sample_0175,4,28
sample_0176,4,29
sample_0177,4,30
sample_0178,4,31
sample_0179,4,32
sample_0180,4,33
sample_0181,4,34
sample_0182,4,35
sample_0183,4,36
sample_0184,4,37
sample_0185,4,38
sample_0186,4,39
sample_0187,4,40
sample_0188,4,41
sample_0189,4,42
sample_0190,4,43
sample_0191,4,44
sample_0192,4,45
sample_0193,4,46
sample_0194,4,47
sample_0195,4,48
sample_0196,4,49
sample_0197,4,50
sample_0198,4,51
sample_0199,4,52
sample_0200,4,53
sample_0201,4,54
sample_0202,4,55
sample_0203,4,56
sample_0204,4,57
sample_0205,4,58
sample_0206,4,59
sample_0207,4,60
sample_0208,4,61
sample_0209,4,62
sample_0210,4,63
sample_0211,4,64
sample_0212,4,65
sample_0213,4,66
sample_0214,4,67
sample_0215,4,68
sample_0216,4,69
sample_0217,4,70
sample_0218,4,71
sample_0219,4,72
sample_0220,4,73
sample_0221,4,74
sample_0222,4,75
sample_0223,4,76
sample_0224,4,77
sample_0225,4,78
sample_0226,4,79
sample_0227,4,80
sample_0228,4,81
sample_0229,4,82
sample_0230,4,83
sample_0231,4,84
sample_0232,4,85
sample_0233,4,86
sample_0234,4,87
sample_0235,4,88
sample_0236,4,89
sample_0237,4,90
sample_0238,4,91
sample_0239,4,92
sample_0240,4,93
sample_0241,4,94
sample_0242,4,95
sample_0243,4,96
sample_0244,4,97
sample_0245,4,98
sample_0246,4,99
sample_0247,4,100
sample_0248,6,1
sample_0249,6,2
sample_0250,6,3
sample_0251,6,4
sample_0252,6,5
sample_0253,6,6
sample_0254,6,7
sample_0255,6,8
sample_0256,6,9
sample_0257,6,10
sample_0258,6,11
sample_0259,6,12
sample_0260,6,13
sample_0261,6,14
sample_0262,6,15
sample_0263,6,16
sample_0264,6,17
sample_0265,6,18
sample_0266,6,19
sample_0267,6,20
sample_0268,6,21
sample_0269,6,22
sample_0270,6,23
sample_0271,6,24
sample_0272,6,25
sample_0273,6,26
sample_0274,6,27
sample_0275,6,28
sample_0276,6,30
sample_0277,6,31
sample_0278,6,32
sample_0279,6,33
sample_0280,6,34
sample_0281,6,35
sample_0282,6,36
sample_0283,6,37
sample_0284,6,38
sample_0285,6,39
sample_0286,6,40
sample_0287,6,41
sample_0288,6,42
sample_0289,6,43
sample_0290,6,44
sample_0291,6,45
sample_0292,6,46
sample_0293,6,47
sample_0294,6,48
sample_0295,6,49
sample_0296,6,50
sample_0297,6,51
sample_0298,6,52
sample_0299,6,53
sample_0300,7,1
sample_0301,7,2
sample_0302,7,3
sample_0303,7,4
sample_0304,7,5
sample_0305,7,6
sample_0306,7,7
sample_0307,7,8
sample_0308,7,9
sample_0309,7,10
sample_0310,7,11
sample_0311,7,12
sample_0312,7,13
sample_0313,7,14
sample_0314,7,15
sample_0315,7,16
sample_0316,7,17
sample_0317,7,18
sample_0318,7,19
sample_0319,7,20
sample_0320,7,21
sample_0321,7,22
sample_0322,7,23
sample_0323,7,24
sample_0324,7,25
sample_0325,7,26
sample_0326,7,27
sample_0327,7,28
sample_0328,7,29
sample_0329,7,30
sample_0330,7,31
sample_0331,7,32
sample_0332,7,33
sample_0333,7,34
sample_0334,7,35
sample_0335,7,36
sample_0336,7,37
sample_0337,7,38
sample_0338,7,39
sample_0339,7,40
sample_0340,7,41
sample_0341,7,42
sample_0342,7,43
sample_0343,7,44
sample_0344,7,45
sample_0345,7,46
sample_0346,7,47
sample_0347,7,48
sample_0348,7,49
sample_0349,7,50
sample_0350,7,51
sample_0351,8,1
sample_0352,8,2
sample_0353,8,3
sample_0354,8,4
sample_0355,8,5
sample_0356,8,6
sample_0357,8,7
sample_0358,8,8
sample_0359,8,9
sample_0360,8,10
sample_0361,8,11
sample_0362,8,12
sample_0363,8,13
sample_0364,8,14
sample_0365,8,15
sample_0366,8,16
sample_0367,8,17
sample_0368,8,18
sample_0369,8,19
sample_0370,8,20
sample_0371,8,21
sample_0372,8,22
sample_0373,8,23
sample_0374,8,24
sample_0375,8,25
sample_0376,8,26
sample_0377,8,27
sample_0378,8,28
sample_0379,8,29
sample_0380,8,30
sample_0381,8,31
sample_0382,8,32
sample_0383,8,33
sample_0384,8,34
sample_0385,8,35
sample_0386,8,36
sample_0387,8,37
sample_0388,8,38
sample_0389,8,39
sample_0390,9,1
sample_0391,9,2
sample_0392,9,3
sample_0393,9,4
sample_0394,9,5
sample_0395,9,6
sample_0396,9,7
sample_0397,9,8
sample_0398,9,9
sample_0399,9,10
sample_0400,9,11
sample_0401,9,12
sample_0402,9,13
sample_0403,9,14
sample_0404,9,15
sample_0405,9,16
sample_0406,9,17
sample_0407,9,18
sample_0408,9,19
sample_0409,9,20
sample_0410,9,21
sample_0411,9,22
sample_0412,9,23
sample_0413,9,24
sample_0414,9,25
sample_0415,9,26
sample_0416,9,27
sample_0417,9,28
sample_0418,9,29
sample_0419,9,30
sample_0420,9,31
sample_0421,9,32
sample_0422,9,33
sample_0423,9,34
sample_0424,9,35
sample_0425,11,1
sample_0426,11,2
sample_0427,11,3
sample_0428,11,4
sample_0429,11,5
sample_0430,11,6
sample_0431,11,7
sample_0432,11,8
sample_0433,11,9
sample_0434,11,10
sample_0435,11,11
sample_0436,11,12
sample_0437,11,13
sample_0438,11,14
sample_0439,11,15
sample_0440,11,16
sample_0441,11,17
sample_0442,11,18
sample_0443,11,19
sample_0444,11,20
sample_0445,11,21
sample_0446,11,22
sample_0447,11,23
sample_0448,11,24
sample_0449,11,25
sample_0450,11,26
sample_0451,11,27
sample_0452,11,28
sample_0453,11,29
sample_0454,11,30
sample_0455,11,31
sample_0456,11,32
sample_0457,11,33
sample_0458,11,34
sample_0459,11,35
sample_0460,11,36
sample_0461,11,37
sample_0462,11,38
sample_0463,11,39
sample_0464,11,40
sample_0465,11,41
sample_0466,11,42
sample_0467,11,43
sample_0468,11,44
sample_0469,11,45
sample_0470,11,46
sample_0471,11,47
sample_0472,11,48
sample_0473,12,1
sample_0474,12,2
sample_0475,12,3
sample_0476,12,4
sample_0477,12,5
sample_0478,12,6
sample_0479,12,7
sample_0480,12,8
sample_0481,12,9
sample_0482,12,10
sample_0483,12,11
sample_0484,12,12
sample_0485,12,13
sample_0486,12,14
sample_0487,12,15
sample_0488,12,16
sample_0489,12,17
sample_0490,12,18
sample_0491,12,19
sample_0492,12,20
sample_0493,12,21
sample_0494,12,22
sample_0495,12,23
sample_0496,12,24
sample_0497,12,25
sample_0498,12,26
sample_0499,12,27
sample_0500,12,28
sample_0501,12,29
sample_0502,12,30
sample_0503,12,31
sample_0504,12,32
sample_0505,12,33
sample_0506,12,34
sample_0507,12,35
sample_0508,12,36
sample_0509,12,37
sample_0510,12,38
sample_0511,13,1
sample_0512,13,2
sample_0513,13,3
sample_0514,13,4
sample_0515,13,5
sample_0516,13,6
sample_0517,13,7
sample_0518,13,8
sample_0519,13,9
sample_0520,13,10
sample_0521,13,11
sample_0522,13,12
sample_0523,13,13
sample_0524,13,14
sample_0525,13,15
sample_0526,14,1
sample_0527,14,2
sample_0528,14,3
sample_0529,14,4
sample_0530,14,5
sample_0531,14,6
sample_0532,14,7
sample_0533,14,8
sample_0534,14,9
sample_0535,14,10
sample_0536,14,11
sample_0537,14,12
sample_0538,14,13
sample_0539,14,14
sample_0540,14,15
sample_0541,14,16
sample_0542,14,17
sample_0543,14,18
sample_0544,14,19
sample_0545,14,20
sample_0546,16,1
sample_0547,16,2
sample_0548,16,3
sample_0549,16,4
sample_0550,16,5
sample_0551,16,6
sample_0552,16,7
sample_0553,16,8
sample_0554,16,9
sample_0555,16,10
sample_0556,16,11
sample_0557,16,12
sample_0558,16,13
sample_0559,16,14
sample_0560,16,15
sample_0561,16,16
sample_0562,16,17
sample_0563,16,18
sample_0564,16,19
sample_0565,17,1
sample_0566,17,2
sample_0567,17,3
sample_0568,17,4
sample_0569,17,5
sample_0570,17,6
sample_0571,17,7
sample_0572,17,8
sample_0573,17,9
sample_0574,17,10
sample_0575,17,11
sample_0576,17,12
sample_0577,17,13
sample_0578,17,14
sample_0579,17,15
sample_0580,17,16
sample_0581,17,17
sample_0582,17,18
sample_0583,17,19
sample_0584,17,20
sample_0585,17,21
sample_0586,17,22
sample_0587,17,23
sample_0588,17,24
sample_0589,17,25
sample_0590,17,26
sample_0591,17,27
sample_0592,17,28
sample_0593,17,29
sample_0594,17,30
sample_0595,17,31
sample_0596,18,1
sample_0597,18,2
sample_0598,18,3
sample_0599,18,4
sample_0600,18,5
sample_0601,18,6
sample_0602,19,1
sample_0603,19,2
sample_0604,19,3
sample_0605,19,4
sample_0606,19,5
sample_0607,19,6
sample_0608,19,7
sample_0609,19,8
sample_0610,19,9
sample_0611,19,10
sample_0612,19,11
sample_0613,19,12
sample_0614,19,13
sample_0615,19,14
sample_0616,19,15
sample_0617,19,16
sample_0618,19,17
sample_0619,19,18
sample_0620,20,1
